,Date,Total Volume
232,05-26-20,88951400
233,05-27-20,104817400
234,05-28-20,90405200
235,05-29-20,119090800
236,06-01-20,55758300
237,06-02-20,74267200
238,06-03-20,92567600
239,06-04-20,75794400
240,06-05-20,150524700
241,06-08-20,73641200
242,06-09-20,77479200
243,06-10-20,95000800
244,06-11-20,209243600
245,06-12-20,194678900
246,06-15-20,135782700
247,06-16-20,137627500
248,06-17-20,83398900
249,06-18-20,80828700
250,06-19-20,135549600
251,06-22-20,74649400
252,06-23-20,68471200
253,06-24-20,132813500
254,06-25-20,89468000
255,06-26-20,127961000
256,06-29-20,79773300
257,06-30-20,113394800
258,07-01-20,72396500
259,07-02-20,69344200
260,07-06-20,61713800
261,07-07-20,82910000
262,07-08-20,54638600
263,07-09-20,83354200
264,07-10-20,57550400
265,07-13-20,102997500
266,07-14-20,93657000
267,07-15-20,87196500
268,07-16-20,54622500
269,07-17-20,62774900
270,07-20-20,56308800
271,07-21-20,57292200
272,07-22-20,57792900
273,07-23-20,75738000
274,07-24-20,73766600
275,07-27-20,48293000
276,07-28-20,57495000
277,07-29-20,48454200
278,07-30-20,61861700
279,07-31-20,84986800
280,08-03-20,53077900
281,08-04-20,41917900
282,08-05-20,42697700
283,08-06-20,43679400
284,08-07-20,57308300
285,08-10-20,44282100
286,08-11-20,69601100
287,08-12-20,53774400
288,08-13-20,41816100
289,08-14-20,47260400
290,08-17-20,35481000
291,08-18-20,38733900
292,08-19-20,68054200
293,08-20-20,42207800
294,08-21-20,55106600
295,08-24-20,48588700
296,08-25-20,38463400
297,08-26-20,50790200
298,08-27-20,58034100
299,08-28-20,48588900
300,08-31-20,66099200
301,09-01-20,54908700
302,09-02-20,69540000
303,09-03-20,148011100
304,09-04-20,139156300
305,09-08-20,114465300
306,09-09-20,91462300
307,09-10-20,90569500
308,09-11-20,84680200
309,09-14-20,65605700
310,09-15-20,52920900
311,09-16-20,82096000
312,09-17-20,91523300
313,09-18-20,105877900
314,09-21-20,99450800
315,09-22-20,63612100
316,09-23-20,93112200
317,09-24-20,76681300
318,09-25-20,71069400
319,09-28-20,64584600
320,09-29-20,51304000
321,09-30-20,104081100
322,10-01-20,88698700
323,10-02-20,89431100
324,10-05-20,45713100
325,10-06-20,90128900
326,10-07-20,56999600
327,10-08-20,45242500
328,10-09-20,59528600
329,10-12-20,80388500
330,10-13-20,73255500
331,10-14-20,57727900
332,10-15-20,60357700
333,10-16-20,89501900
334,10-19-20,68425600
335,10-20-20,60051900
336,10-21-20,63575000
337,10-22-20,55399300
338,10-23-20,49143900
339,10-26-20,91473000
340,10-27-20,65994100
341,10-28-20,127094300
342,10-29-20,90597700
343,10-30-20,120287300
344,11-02-20,86068300
345,11-03-20,93294200
346,11-04-20,126959700
347,11-05-20,82039700
348,11-06-20,74973000
349,11-09-20,172304200
350,11-10-20,85552000
351,11-11-20,58649000
352,11-12-20,67546200
353,11-13-20,62892200
354,11-16-20,74541100
355,11-17-20,66111000
356,11-18-20,70591300
357,11-19-20,59940900
358,11-20-20,70417300
359,11-23-20,63230600
360,11-24-20,62415900
361,11-25-20,45330900
362,11-27-20,28514100
363,11-30-20,83872700
364,12-01-20,74231400
365,12-02-20,45927000
366,12-03-20,62882000
367,12-04-20,50749900
368,12-07-20,48944300
369,12-08-20,42458900
370,12-09-20,74098300
371,12-10-20,57735400
372,12-11-20,57698600
373,12-14-20,69216200
374,12-15-20,63865300
375,12-16-20,58420500
376,12-17-20,64119500
377,12-18-20,136542300
378,12-21-20,96386700
379,12-22-20,47949000
380,12-23-20,46201400
381,12-24-20,26457900
382,12-28-20,39000400
383,12-29-20,53680500
384,12-30-20,49455300
385,12-31-20,78520700
386,01-04-21,110210800
387,01-05-21,66426200
388,01-06-21,107997700
389,01-07-21,68766800
390,01-08-21,71677200
391,01-11-21,51034700
392,01-12-21,52547700
393,01-13-21,45303600
394,01-14-21,49989100
395,01-15-21,107160000
396,01-19-21,51233300
397,01-20-21,61836100
398,01-21-21,47840100
399,01-22-21,52860500
400,01-25-21,70402000
401,01-26-21,42665300
402,01-27-21,123351100
403,01-28-21,94198100
404,01-29-21,126765100
405,02-01-21,75817600
406,02-02-21,64450700
407,02-03-21,52427100
408,02-04-21,47142600
409,02-05-21,48669800
410,02-08-21,38365200
411,02-09-21,35551100
412,02-10-21,59154400
413,02-11-21,42913300
414,02-12-21,50593300
415,02-16-21,50972400
416,02-17-21,52290600
417,02-18-21,59712800
418,02-19-21,83241000
419,02-22-21,67414200
420,02-23-21,107284100
421,02-24-21,72433900
422,02-25-21,146670500
423,02-26-21,152701600
424,03-01-21,105348800
425,03-02-21,79595300
426,03-03-21,119940200
427,03-04-21,183433000
428,03-05-21,152039600
429,03-08-21,123149200
430,03-09-21,113633600
431,03-10-21,109899400
432,03-11-21,86245000
433,03-12-21,64653600
434,03-15-21,73427200
435,03-16-21,73722500
436,03-17-21,97959300
437,03-18-21,115349100
438,03-19-21,113624500
439,03-22-21,73778600
440,03-23-21,90686600
441,03-24-21,97588600
442,03-25-21,116128600
443,03-26-21,114409100
444,03-29-21,108107600
445,03-30-21,76262200
446,03-31-21,112734200
447,04-01-21,99682900
448,04-05-21,91684800
449,04-06-21,62021000
450,04-07-21,55836300
451,04-08-21,57863100
452,04-09-21,61104600
453,04-12-21,56704900
454,04-13-21,56551000
455,04-14-21,61659900
456,04-15-21,60229800
457,04-16-21,82037300
458,04-19-21,78498500
459,04-20-21,81851800
460,04-21-21,66793000
461,04-22-21,97582800
462,04-23-21,73209200
463,04-26-21,52182400
464,04-27-21,51303100
465,04-28-21,51238900
466,04-29-21,78544300
467,04-30-21,85527000
468,05-03-21,68128300
469,05-04-21,101591200
470,05-05-21,39960700
471,05-06-21,74321400
472,05-07-21,67733800
473,05-10-21,81852400
474,05-11-21,116888000
475,05-12-21,134811000
476,05-13-21,106394000
477,05-14-21,82201600
478,05-17-21,65129200
479,05-18-21,59810200
480,05-19-21,106467100
481,05-20-21,78022200
482,05-21-21,76578700
483,05-24-21,51376700
484,05-25-21,57451400
485,05-26-21,43088600
486,05-27-21,56707700
487,05-28-21,58520200
488,06-01-21,54216600
489,06-02-21,49097100
490,06-03-21,58138800
491,06-04-21,55938800
492,06-07-21,51555000
493,06-08-21,47134300
494,06-09-21,48436300
495,06-10-21,51020100
496,06-11-21,45570800
497,06-14-21,42358500
498,06-15-21,51508500
499,06-16-21,80386100
500,06-17-21,90949700
501,06-18-21,118573500
