,GME,AMC,BB,NOK,TSLA,SNDL,NIO,NAKD,AMD,AAPL,TLRY,WKHS,MVIS,CLNE,AAL,APHA,CTRM,BBBY,PRPL,MSFT
06-22-20,4.869999885559082,5.329999923706055,5.119999885559082,4.329999923706055,198.86399841308594,0.8519999980926514,7.429999828338623,0.8050000071525574,54.7599983215332,89.71749877929688,8.40999984741211,5.920000076293945,1.7400000095367432,2.1500000953674316,14.920000076293945,5.309628009796143,0.6399999856948853,9.970000267028809,18.600000381469727,200.57000732421875
06-23-20,4.829999923706055,5.099999904632568,5.099999904632568,4.329999923706055,200.3560028076172,0.9100000262260437,7.230000019073486,0.7480000257492065,53.9900016784668,91.63249969482422,8.5600004196167,6.949999809265137,1.4700000286102295,2.1600000858306885,14.0,5.285765171051025,0.6299999952316284,10.239999771118164,18.200000762939453,201.91000366210938
06-24-20,4.409999847412109,4.789999961853027,4.920000076293945,4.199999809265137,192.1699981689453,0.8500000238418579,6.860000133514404,0.7400000095367432,52.38999938964844,90.01499938964844,8.149999618530273,8.510000228881836,1.4600000381469727,2.0899999141693115,13.039999961853027,5.1067891120910645,0.4269999861717224,9.350000381469727,17.950000762939453,197.83999633789062
06-25-20,4.460000038146973,4.269999980926514,4.849999904632568,4.449999809265137,197.1959991455078,0.8489999771118164,7.079999923706055,0.7202000021934509,51.93000030517578,91.20999908447266,8.550000190734863,8.5600004196167,1.4299999475479126,2.130000114440918,13.170000076293945,5.047130107879639,0.46700000762939453,9.479999542236328,18.25,200.33999633789062
06-26-20,4.349999904632568,4.179999828338623,4.71999979019165,4.340000152587891,191.947998046875,0.8029999732971191,6.900000095367432,0.6301000118255615,50.099998474121094,88.40750122070312,7.949999809265137,9.899999618530273,1.3200000524520874,2.009999990463257,12.380000114440918,4.856222152709961,0.41200000047683716,10.050000190734863,17.25,196.3300018310547
06-29-20,4.380000114440918,4.420000076293945,4.800000190734863,4.349999904632568,201.8699951171875,0.8159999847412109,7.230000019073486,0.6675999760627747,50.279998779296875,90.44499969482422,7.710000038146973,14.510000228881836,1.340000033378601,2.190000057220459,13.319999694824219,5.118720054626465,0.39500001072883606,10.819999694824219,18.1299991607666,198.44000244140625
06-30-20,4.340000152587891,4.289999961853027,4.889999866485596,4.400000095367432,215.96200561523438,0.7990000247955322,7.71999979019165,0.6525999903678894,52.61000061035156,91.19999694824219,7.110000133514404,17.389999389648438,1.3600000143051147,2.2200000286102295,13.069999694824219,5.118720054626465,0.4000000059604645,10.600000381469727,18.0,203.50999450683594
07-01-20,4.440000057220459,4.570000171661377,4.78000020980835,4.349999904632568,223.92599487304688,0.8040000200271606,7.909999847412109,0.6811000108718872,52.58000183105469,91.02749633789062,7.010000228881836,19.18000030517578,1.4500000476837158,2.1700000762939453,12.8100004196167,5.202242851257324,0.36800000071525574,10.640000343322754,18.1299991607666,204.6999969482422
07-02-20,4.289999961853027,4.53000020980835,4.849999904632568,4.440000057220459,241.73199462890625,0.7839999794960022,9.380000114440918,0.6589999794960022,52.34000015258789,91.02749633789062,6.960000038146973,20.90999984741211,1.4700000286102295,2.1600000858306885,12.5,5.130651950836182,0.32899999618530273,10.8100004196167,18.06999969482422,206.25999450683594
07-06-20,4.239999771118164,4.28000020980835,5.019999980926514,4.599999904632568,274.3160095214844,0.8100000023841858,11.510000228881836,0.6439999938011169,53.400001525878906,93.4625015258789,7.849999904632568,17.610000610351562,1.5399999618530273,2.299999952316284,12.800000190734863,5.2261061668396,0.33899998664855957,10.760000228881836,18.760000228881836,210.6999969482422
07-07-20,4.090000152587891,4.130000114440918,4.800000190734863,4.309999942779541,277.97198486328125,0.7699999809265137,13.220000267028809,0.6255000233650208,52.93000030517578,93.17250061035156,7.699999809265137,16.850000381469727,1.4500000476837158,2.2100000381469727,11.90999984741211,5.166447162628174,0.32899999618530273,10.239999771118164,18.420000076293945,208.25
07-08-20,4.260000228881836,4.429999828338623,4.840000152587891,4.150000095367432,273.1759948730469,0.7799999713897705,12.880000114440918,0.6320000290870667,53.43000030517578,95.34249877929688,7.579999923706055,16.65999984741211,1.5099999904632568,2.859999895095825,11.989999771118164,5.142583847045898,0.3199999928474426,10.40999984741211,18.979999542236328,212.8300018310547
07-09-20,4.210000038146973,4.570000171661377,4.809999942779541,4.170000076293945,278.8559875488281,0.7919999957084656,14.569999694824219,0.5910000205039978,57.2599983215332,95.75250244140625,7.449999809265137,16.059999465942383,1.4900000095367432,3.0,11.180000305175781,4.99940299987793,0.3569999933242798,7.860000133514404,18.469999313354492,214.32000732421875
07-10-20,4.340000152587891,4.599999904632568,4.730000019073486,4.119999885559082,308.92999267578125,0.8109999895095825,14.979999542236328,0.5799999833106995,55.880001068115234,95.91999816894531,8.010000228881836,15.180000305175781,1.5,2.7200000286102295,11.9399995803833,5.130651950836182,0.34599998593330383,8.199999809265137,19.729999542236328,213.6699981689453
07-13-20,4.260000228881836,4.260000228881836,4.579999923706055,4.179999828338623,299.4119873046875,0.8399999737739563,13.84000015258789,0.5419999957084656,53.59000015258789,95.47750091552734,7.46999979019165,15.4399995803833,1.559999942779541,2.3499999046325684,11.630000114440918,5.58405876159668,0.257999986410141,7.730000019073486,18.049999237060547,207.07000732421875
07-14-20,4.079999923706055,4.21999979019165,4.579999923706055,4.320000171661377,303.3599853515625,0.8420000076293945,14.09000015258789,0.5329999923706055,54.720001220703125,97.05750274658203,7.570000171661377,16.5,1.6699999570846558,2.5799999237060547,11.569999694824219,5.619853973388672,0.2619999945163727,8.390000343322754,18.329999923706055,208.35000610351562
