,GME,AMC,BB,NOK,TSLA,SNDL,NIO,NAKD,AMD,AAPL,TLRY,WKHS,MVIS,CLNE,AAL,APHA,CTRM,BBBY,PRPL,MSFT
06-22-20,4.71999979019165,5.210000038146973,5.079999923706055,4.289999961853027,198.00399780273438,0.8069999814033508,7.380000114440918,0.75,53.7400016784668,87.7874984741211,8.020000457763672,5.0,1.5,2.109999895095825,14.720000267028809,5.190310955047607,0.6359999775886536,9.779999732971191,17.920000076293945,195.22999572753906
06-23-20,4.800000190734863,5.039999961853027,5.079999923706055,4.329999923706055,198.802001953125,0.8500000238418579,7.190000057220459,0.7300000190734863,53.869998931884766,90.56749725341797,8.3100004196167,6.574999809265137,1.3799999952316284,2.130000114440918,13.710000038146973,5.249969959259033,0.5400000214576721,10.069999694824219,18.097000122070312,201.42999267578125
06-24-20,4.380000114440918,4.510000228881836,4.849999904632568,4.170000076293945,190.6280059814453,0.8209999799728394,6.5,0.699999988079071,51.91999816894531,89.62999725341797,8.0600004196167,7.099999904632568,1.2300000190734863,2.0199999809265137,12.829999923706055,4.987471103668213,0.37700000405311584,9.010000228881836,17.399999618530273,196.55999755859375
06-25-20,4.300000190734863,4.170000076293945,4.610000133514404,4.150000095367432,187.42999267578125,0.800000011920929,6.599999904632568,0.7049999833106995,50.540000915527344,89.39250183105469,8.0,7.519999980926514,1.340000033378601,2.049999952316284,12.180000305175781,4.892016887664795,0.42500001192092896,9.100000381469727,17.84000015258789,195.47000122070312
06-26-20,4.269999980926514,4.150000095367432,4.71999979019165,4.329999923706055,190.9739990234375,0.800000011920929,6.800000190734863,0.6100000143051147,49.45000076293945,88.25499725341797,7.769999980926514,8.65999984741211,1.2999999523162842,2.009999990463257,12.130000114440918,4.796563148498535,0.3499999940395355,9.699999809265137,16.81999969482422,194.8800048828125
06-29-20,4.300000190734863,3.75,4.639999866485596,4.309999942779541,189.70399475097656,0.75,6.710000038146973,0.6500999927520752,48.41999816894531,87.81999969482422,7.559999942779541,11.0,1.2799999713897705,2.0899999141693115,12.020000457763672,4.724973201751709,0.3700000047683716,9.789999961853027,16.700000762939453,193.5500030517578
06-30-20,4.199999809265137,4.210000038146973,4.739999771118164,4.300000190734863,200.74600219726562,0.75,7.119999885559082,0.6150000095367432,50.81999969482422,90.0,7.019999980926514,16.0,1.340000033378601,2.1500000953674316,12.880000114440918,4.987471103668213,0.38600000739097595,10.350000381469727,17.1299991607666,197.74000549316406
07-01-20,4.309999942779541,4.260000228881836,4.730000019073486,4.340000152587891,216.10000610351562,0.7710000276565552,7.670000076293945,0.6050000190734863,51.599998474121094,90.97750091552734,7.010000228881836,13.649999618530273,1.3700000047683716,2.1500000953674316,12.630000114440918,5.130651950836182,0.36500000953674316,10.420000076293945,17.71500015258789,201.77000427246094
07-02-20,4.289999961853027,4.46999979019165,4.769999980926514,4.429999828338623,237.1199951171875,0.753000020980835,8.699999809265137,0.6259999871253967,52.04999923706055,90.91000366210938,6.889999866485596,19.75,1.4299999475479126,2.1500000953674316,12.420000076293945,5.130651950836182,0.20999999344348907,10.680000305175781,17.399999618530273,205.0
07-06-20,4.190000057220459,4.130000114440918,4.920000076293945,4.590000152587891,253.20799255371094,0.7699999809265137,10.930000305175781,0.6101999878883362,52.33000183105469,92.46749877929688,6.889999866485596,17.31999969482422,1.4800000190734863,2.200000047683716,12.210000038146973,5.142583847045898,0.3199999928474426,10.710000038146973,18.239999771118164,208.08999633789062
07-07-20,4.059999942779541,4.079999923706055,4.789999961853027,4.300000190734863,267.3420104980469,0.75,10.699999809265137,0.6150000095367432,52.86000061035156,93.05750274658203,7.619999885559082,14.109999656677246,1.440000057220459,2.180000066757202,11.90999984741211,5.142583847045898,0.30000001192092896,10.130000114440918,18.299999237060547,207.99000549316406
07-08-20,4.03000020980835,4.199999809265137,4.739999771118164,4.110000133514404,262.26800537109375,0.75,12.0,0.6111999750137329,52.06999969482422,94.08999633789062,7.449999809265137,16.020000457763672,1.4700000286102295,2.2799999713897705,11.430000305175781,5.070992946624756,0.31200000643730164,9.960000038146973,18.3700008392334,208.69000244140625
07-09-20,4.130000114440918,4.179999828338623,4.690000057220459,4.059999942779541,270.2560119628906,0.7699999809265137,13.069999694824219,0.5600000023841858,53.310001373291016,94.67250061035156,7.309999942779541,15.59000015258789,1.4700000286102295,2.9100000858306885,11.149999618530273,4.909914970397949,0.3179999887943268,7.699999809265137,17.979999542236328,211.47000122070312
07-10-20,4.179999828338623,4.380000114440918,4.699999809265137,4.090000152587891,275.2019958496094,0.7609999775886536,14.199999809265137,0.5600000023841858,55.5099983215332,94.70500183105469,7.420000076293945,14.199999809265137,1.440000057220459,2.630000114440918,10.979999542236328,4.927812099456787,0.3179999887943268,7.900000095367432,18.360000610351562,211.0800018310547
07-13-20,4.260000228881836,4.25,4.559999942779541,4.179999828338623,294.22198486328125,0.7799999713897705,13.609999656677246,0.5322999954223633,53.380001068115234,95.25749969482422,7.449999809265137,15.300000190734863,1.5,2.3499999046325684,11.449999809265137,5.249969959259033,0.25200000405311584,7.389999866485596,18.03499984741211,206.5
07-14-20,4.070000171661377,4.099999904632568,4.449999809265137,4.239999771118164,286.20001220703125,0.800000011920929,12.420000076293945,0.5149999856948853,52.2599983215332,93.87750244140625,7.199999809265137,15.020000457763672,1.5700000524520874,2.359999895095825,11.220000267028809,5.333491802215576,0.2409999966621399,7.570000171661377,17.469999313354492,202.02999877929688
