,DOGE-USD,XRP-USD,BTC-USD,ETC-USD,XLM-USD,ADA-USD,DASH-USD,TRX-USD,ETH-USD,BNB-USD,LTC-USD,BCH-USD,EOS-USD,NEO-USD,USDT-USD,XMR-USD,MIOTA-USD,XTZ-USD,XEM-USD
07-11-20,87562043.0,850245455.0,14452361907.0,492359785.0,382865014.0,340033778.0,252628320.0,427938227.0,6596394718.0,224015851.0,1598865182.0,896740451.0,982699897.0,204663086.0,18560508406.0,93942131.0,15209896.0,173178789.0,7488192.0
07-12-20,143177055.0,1197056593.0,17519821266.0,560726589.0,389748252.0,553867759.0,293958153.0,496850309.0,7787751468.0,261690866.0,1724704950.0,1208729132.0,1342425176.0,247490495.0,23293356124.0,87455836.0,20111914.0,411310595.0,9091934.0
07-13-20,103213409.0,1197284578.0,18085038362.0,577979368.0,305049008.0,449379997.0,240563632.0,440691747.0,7357458555.0,203397123.0,1882872130.0,1138634120.0,1295225304.0,216400091.0,21927614040.0,67807825.0,16417155.0,251503669.0,9006166.0
07-14-20,69399827.0,1067413757.0,15844731575.0,578896464.0,391047540.0,292680349.0,188535300.0,381803426.0,6189328448.0,169152686.0,1809900342.0,997085718.0,1229856933.0,241189204.0,19801020732.0,97547877.0,13835099.0,300281072.0,7919147.0
07-15-20,78457844.0,1055841762.0,15713967523.0,636508435.0,505630696.0,423824352.0,191501966.0,407189009.0,5832057567.0,191191483.0,1543731673.0,1147931868.0,1315835446.0,209882278.0,20174060342.0,85426392.0,15817182.0,380406590.0,9480168.0
07-16-20,74705371.0,936113620.0,13944570749.0,549806440.0,505735318.0,231984863.0,160183850.0,321094831.0,5859850529.0,153498441.0,1336746650.0,941024161.0,950656644.0,158743421.0,16824229378.0,51519232.0,11522044.0,186924039.0,6763745.0
07-17-20,204080851.0,870207693.0,12252601475.0,463666673.0,266646100.0,221333950.0,137278614.0,313414180.0,5397402117.0,149402466.0,1141296421.0,869975905.0,860317780.0,157821212.0,15430964635.0,52913522.0,9923059.0,164183772.0,29310102.0
07-18-20,116746163.0,828392852.0,12939002784.0,471087490.0,215208318.0,159010744.0,140099725.0,335531450.0,6251377305.0,213342724.0,1140767149.0,955372849.0,1128667004.0,151392681.0,16068695380.0,49400376.0,12585531.0,122426954.0,24654492.0
07-19-20,81038624.0,848780531.0,13755604146.0,494239655.0,238907306.0,176280626.0,147100704.0,339773905.0,5600686192.0,203143854.0,1152077279.0,952296138.0,1171151594.0,160489697.0,16920167824.0,55897246.0,18557262.0,131836409.0,14203934.0
07-20-20,77748189.0,928954951.0,18069581956.0,536241008.0,222225815.0,208927329.0,189232012.0,361737984.0,6806696015.0,187854335.0,1384220462.0,1159452662.0,1226905731.0,273392782.0,22047241258.0,70450705.0,25213659.0,155225484.0,12511110.0
07-21-20,54443238.0,935529987.0,16532254884.0,550582710.0,188477646.0,157853191.0,213909382.0,321816294.0,7702077383.0,191909868.0,1383704376.0,1234729239.0,1247440460.0,235753231.0,21007802308.0,62044445.0,22365146.0,126518487.0,11710223.0
07-22-20,58737115.0,1443659224.0,18146399002.0,623580969.0,259146414.0,201587814.0,220215358.0,383109394.0,10281309262.0,220207323.0,1775727714.0,1350739708.0,1417252200.0,245506345.0,24897129948.0,82557920.0,21497810.0,170069172.0,12528349.0
07-23-20,58910215.0,1294356195.0,16552768325.0,564877717.0,221044089.0,198707995.0,220406740.0,387143586.0,9466060358.0,248008823.0,1620747746.0,1193524031.0,1292901834.0,245456357.0,22338273101.0,73201966.0,17449911.0,144067871.0,15496691.0
07-24-20,63203396.0,1225769666.0,16610070933.0,691476129.0,237008047.0,630341416.0,234087037.0,425724567.0,10785021813.0,257057785.0,2433671618.0,1648365419.0,1616310906.0,217249810.0,25077707687.0,60151560.0,16421658.0,128872045.0,8755426.0
07-25-20,62592233.0,1448138807.0,20507998997.0,738583538.0,328857055.0,743098554.0,281511012.0,456539888.0,12003973026.0,248581857.0,2587129920.0,1674308833.0,1804564879.0,235710938.0,28852807826.0,86834241.0,19108400.0,153418589.0,13076541.0
07-26-20,83138808.0,1762737985.0,35359749590.0,1204981144.0,347516202.0,745732008.0,360494267.0,570027398.0,15644257058.0,325386899.0,3397559596.0,2488636345.0,2596598127.0,366814833.0,44309144839.0,119661660.0,26968286.0,267560520.0,15193861.0
07-27-20,63084930.0,1754695828.0,28766551142.0,1079244852.0,298863222.0,638080214.0,318375048.0,548888124.0,12357108065.0,284409544.0,3293197775.0,2732696107.0,2516881096.0,305615652.0,37054214114.0,133640096.0,23879021.0,158332704.0,12550211.0
07-28-20,55817191.0,2022835116.0,24617249715.0,923782910.0,241946098.0,451915307.0,324260579.0,561417584.0,10878845706.0,204440432.0,2572759911.0,1920329028.0,2339032886.0,239367040.0,31945080196.0,93331670.0,21997988.0,135216954.0,11686078.0
07-29-20,53506822.0,1650758400.0,22857247901.0,851785157.0,180339488.0,257573327.0,250240023.0,465222604.0,11827689045.0,200436410.0,3015740898.0,1910379360.0,1995862816.0,191859692.0,30145197612.0,72088890.0,35256665.0,102353935.0,9328048.0
07-30-20,54497306.0,1854522560.0,23160469766.0,911572840.0,176835286.0,230659122.0,266395053.0,472882523.0,12030600492.0,229781080.0,2461431454.0,1905797789.0,1924546686.0,222960574.0,31216575237.0,77343250.0,20238034.0,109436571.0,10657158.0
07-31-20,150687884.0,3167874461.0,26075670303.0,1106870390.0,400852491.0,362476707.0,472450068.0,625808106.0,14045259477.0,264604008.0,3124975567.0,2447916240.0,2513497240.0,361103260.0,36596724667.0,111518764.0,25058192.0,172314235.0,17959958.0
08-01-20,101249531.0,4780736538.0,27410067336.0,1219211807.0,499258062.0,421324885.0,449660070.0,764416764.0,18909744275.0,299350525.0,3499183526.0,3364496979.0,3543069424.0,316352119.0,43620863810.0,125411756.0,30405121.0,249982954.0,25850703.0
08-02-20,66931510.0,3340814994.0,20271713443.0,854381374.0,307978252.0,248378862.0,332810226.0,530532808.0,12834648062.0,265708949.0,2250487587.0,2060352679.0,1957244385.0,237647861.0,29956228167.0,98801252.0,20208659.0,190598020.0,15377251.0
08-03-20,74386428.0,2746437659.0,21250197042.0,755847370.0,322228936.0,376096013.0,256984183.0,535229652.0,14086704221.0,241931958.0,2088598738.0,1888924124.0,1917603813.0,201039451.0,32423781475.0,85392513.0,18300285.0,284036870.0,13080960.0
08-04-20,66465690.0,2048410252.0,24411254471.0,711927892.0,236900060.0,274829819.0,370531018.0,472602438.0,12875466638.0,344072749.0,2144590019.0,1871748593.0,1776068900.0,212642928.0,33191883907.0,80729377.0,15996753.0,161304037.0,11487757.0
