,DOGE-USD,XRP-USD,BTC-USD,ETC-USD,XLM-USD,ADA-USD,DASH-USD,TRX-USD,ETH-USD,BNB-USD,LTC-USD,BCH-USD,EOS-USD,NEO-USD,USDT-USD,XMR-USD,MIOTA-USD,XTZ-USD,XEM-USD
06-20-20,0.002440999960526824,0.18550099432468414,9300.4306640625,6.200738906860352,0.06869900226593018,0.07829800248146057,70.28365325927734,0.015816999599337578,228.4929962158203,15.980892181396484,43.02702713012695,231.06300354003906,2.502732038497925,10.226067543029785,0.9962350130081177,63.79051971435547,0.21657699346542358,2.5801820755004883,0.0443819984793663
06-21-20,0.0024429999757558107,0.18559400737285614,9296.8720703125,6.212973117828369,0.06873299926519394,0.07843200117349625,70.3468017578125,0.015838000923395157,228.9347381591797,15.998519897460938,43.07240295410156,231.04786682128906,2.5149710178375244,10.298773765563965,0.9905589818954468,64.33438873291016,0.21773399412631989,2.5783629417419434,0.04438399896025658
06-22-20,0.002457000082358718,0.18706199526786804,9547.2470703125,6.282970905303955,0.07006999850273132,0.08150900155305862,71.4892349243164,0.016133999451994896,239.75973510742188,16.262882232666016,43.6243782043457,235.63197326660156,2.529465913772583,10.598043441772461,0.9918829798698425,65.21212005615234,0.2265699952840805,2.615165948867798,0.04467000067234039
06-23-20,0.002389000030234456,0.1830500066280365,9278.2333984375,6.172107219696045,0.0685809999704361,0.08058899641036987,71.3860855102539,0.015845999121665955,232.8077392578125,16.006576538085938,42.7093505859375,231.1907501220703,2.4612810611724854,10.344176292419434,0.9967250227928162,64.31432342529297,0.2155890017747879,2.587783098220825,0.04290200024843216
06-24-20,0.0023900000378489494,0.18095600605010986,9095.32421875,6.105963230133057,0.06631200015544891,0.07951900362968445,70.89862823486328,0.015599999576807022,230.29660034179688,15.630582809448242,42.211456298828125,228.54061889648438,2.4516570568084717,10.089247703552246,0.9924870133399963,63.57046890258789,0.21152600646018982,2.547123908996582,0.04136599972844124
06-25-20,0.0023590000346302986,0.1798979938030243,9101.73828125,6.02597713470459,0.06650199741125107,0.07985900342464447,70.09669494628906,0.015718000009655952,229.25946044921875,15.641557693481445,41.75668716430664,229.17909240722656,2.4078729152679443,10.0529146194458,0.9974719882011414,63.29145431518555,0.21182599663734436,2.461591958999634,0.04175399988889694
06-26-20,0.002294000005349517,0.17448900640010834,8998.216796875,5.437056064605713,0.06125099956989288,0.07610899955034256,66.66852569580078,0.01523599959909916,220.5645751953125,15.075928688049316,40.75464630126953,214.19371032714844,2.2791121006011963,9.537233352661133,0.9965680241584778,61.06354904174805,0.1981000006198883,2.289757013320923,0.0404449999332428
06-27-20,0.00228299992159009,0.17524899542331696,8975.525390625,5.564720153808594,0.06220399960875511,0.07625100016593933,66.2903823852539,0.015340999700129032,219.47267150878906,15.020650863647461,40.778221130371094,214.87408447265625,2.321993112564087,9.652576446533203,0.9895370006561279,62.10470962524414,0.20073500275611877,2.3001549243927,0.04035999998450279
06-28-20,0.0023010000586509705,0.17624300718307495,9041.8759765625,5.741195201873779,0.06315899640321732,0.0803380012512207,66.85841369628906,0.01579499989748001,222.25498962402344,15.23478889465332,41.01976013183594,219.1707763671875,2.322057008743286,9.983563423156738,0.9970449805259705,62.565330505371094,0.20454399287700653,2.351984977722168,0.04081699997186661
06-29-20,0.002297000028192997,0.1750050038099289,9084.837890625,5.695992946624756,0.06423400342464447,0.08202599734067917,67.70539093017578,0.01618099957704544,224.815185546875,15.31640338897705,41.02524185180664,220.74374389648438,2.3386619091033936,10.003989219665527,0.9982950091362,63.33622360229492,0.21070300042629242,2.3573479652404785,0.041669998317956924
06-30-20,0.0023010000586509705,0.17470300197601318,9104.7353515625,5.645407199859619,0.06624200195074081,0.08253300189971924,67.44511413574219,0.01625099964439869,224.8357391357422,15.351641654968262,41.286537170410156,221.29183959960938,2.350167989730835,9.960697174072266,0.9974939823150635,63.324459075927734,0.22281299531459808,2.3399150371551514,0.04201899841427803
07-01-20,0.002302000066265464,0.17423400282859802,9036.623046875,5.599149227142334,0.06724800169467926,0.08906199783086777,66.41972351074219,0.016286000609397888,225.4619598388672,15.250992774963379,40.65645980834961,219.46165466308594,2.3220200538635254,9.826598167419434,0.9987090229988098,63.02602767944336,0.22103500366210938,2.304172992706299,0.041460998356342316
